Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Learning Personal Branding,"You are the most powerful marketing tool at your disposal. If you are starting a business, establishing your thought leadership, or trying to get ahead in your career, it's a great time to start investing in the brand of you. Learn the secrets of personal branding in this course with marketing expert Chelsea Krost. Chelsea explains how to develop your story, craft your messaging, and define your audience. Then she walks you through building your brand presence online and off, creating a calendar that will help you stay on top of social media and keep your content fresh. Plus, get tips to monetize your personal brand and land speaking engagements and guest roles.",Course,2020-11-17 16:43 UTC,N/A,false,N/A,
JavaScript: Classes,"The release of ECMAScript 2015 brought class syntax to JavaScript, providing developers used to class inheritance with some familiar tools. If you're new to the language—or just unsure how classes work in ECMAScript 6 (ES6)—then this course is for you. Join instructor Emmanuel Henri as he explains how classes work in ES6. He starts with the foundations of classes and how they interact with other JavaScript features. He then goes over constructors, mixins, and extends, explaining how they work and sharing code examples.",Course,2020-04-15 22:03 UTC,N/A,false,N/A,
Excel: Avoiding Common Mistakes (Office 365/Excel 2019),"If you work in Excel, you know that even a small error can have big consequences, throwing off important calculations or transmitting incorrect information to your team. In this concise course, Excel expert Dennis Taylor provides quick and easy tips to help you avoid common mistakes. Dennis begins with the basics—how to display data so that errors can be easily spotted, enter data correctly the first time, and apply shortcuts for frequent entries. Dennis provides easy ways to protect worksheets and validate your data—techniques that are particularly helpful when multiple team members are contributing to the same spreadsheet. He also shows how to correctly use row and column references and avoid mistakes in formulas.",Course,2020-10-05 04:05 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:118955,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:118955,Course,2019-02-08 22:39 UTC,N/A,false,N/A,
CompTIA Server+ (SK0-004) Cert Prep: 7 Troubleshooting,"Earning the CompTIA Server+ certification can be a boon to your career by signaling to potential employers that you have the skills needed to manage a variety of systems, including web servers, virtual servers, and more. This course helps to prepare you for the troubleshooting portion of the CompTIA Server+ (SK0-004) certification exam. Instructor Ed Liberman demonstrates how to troubleshoot both hardware and software. Plus, he covers troubleshooting connectivity and storage, including how to diagnose network problems and security issues.<br><br>We are a CompTIA Partner. As such, we are able to offer CompTIA exam vouchers at a 10% discount. For more information on how to obtain this discount, please download <a href=""http://files.lynda.com/files/course_description_images/CompTIA_Exam_voucher_instructions.pdf"" target=""_blank"">these PDF instructions</a>.",Course,2020-11-29 06:15 UTC,N/A,false,N/A,
Excel Tips Weekly,"This tips-based course will show Excel users productivity-boosting tricks, cool hidden features, need-to-know functions, and advanced content on subjects such as using PivotTables for data analysis. Tune in every Tuesday for a new tip from expert Dennis Taylor. Each tutorial is a short, self-contained lesson guaranteed to give you new insights into Excel.<br><br>Note: Because this is an ongoing series, viewers will not receive a certificate of completion.",Course,2020-03-30 17:30 UTC,N/A,false,N/A,
Lighting with Flash: Capturing a Dancer in Motion,"In this installment of the <em>Lighting with Flash</em> series, photographer and Strobist.com publisher David Hobby demonstrates using strobes to freeze action while capturing the strength and grace of a dancer in motion. After working through the lighting challenges of a dance studio, David sets up a white, seamless background and shoots some test shots, adjusting the flash units to create a white ""blow-away"" background that will enable the photo to be easily composited. Next, he photographs the dancer, working with her to capture a relaxed expression as she leaps and strikes various poses. After the action shots, David lights and shoots a portrait.",Course,2020-05-14 21:10 UTC,N/A,false,N/A,
HTML Essential Training,"Hypertext Markup Language (HTML) is the foundation of website and web application development. It allows you to ensure that your content is understood by both segments of your audience: the people who watch, read, or listen to your content, and the computers that display it. In this course, learn how to craft excellent HTML with the pieces that HTML itself has to offer. Instructor Jen Simmons highlights all of the fundamental concepts you need to use HTML thoughtfully. She focuses on semantic markup: tagging content as what it is, and not just for formatting, convention, or convenience. This has far-reaching impact for those who consume the web differently; it ensures that when a screen reader or a system (like a search engine) consumes a page, it knows exactly what it contains and how to categorize that information.",Course,2020-10-26 14:35 UTC,N/A,false,N/A,
Web Programming Foundations,"To be an effective web programmer, you have to understand what happens when you enter a URL or click on a link. Under every webpage lies the markup—JavaScript, HTML, and CSS—and the hierarchy that controls display—the Document Object Model (DOM). Then there is the server that hosts the files, the browser that renders them, the metadata, and the mobile experience to consider. Explore what happens below the surface, and learn how to write better code. This course provides a deep dive into the world wide web, and the underlying structures you need to understand to build robust applications and websites that are efficient and easy to maintain. Learn how HTML documents provide the foundation for CSS and JavaScript, and see how to layer presentation and interactions on top. Learn how different code editors and browsers interact with web content, enabling editing, programming, and display. Discover why accessibility is so important to keeping the web open and available to all users, and what workflow works best for web programming. Instructor Morten Rand-Hendriksen keeps the lessons fun and fast-paced, so it's easy for almost anyone—web programmers, web designers, and even web publishers—to follow along.",Course,2020-05-03 19:03 UTC,N/A,false,N/A,
Microsoft SQL Server 2016: Query Data,"Many of the world's most powerful programs and websites use SQL to manage the incredible amount of data they work with on a daily basis. As a result, understanding how to query data from platforms like Microsoft SQL Server 2016 is a highly valuable skill. In this course, Gerry O'Brien reviews the history of SQL and relational theory to help you understand exactly where this data manipulation language and the Microsoft seminal database program got their starts. Next, he shows how to query one or many different tables using SELECT statements, as well as how to filter, group, and sort the results. Then, he demonstrates how to work with special data types like dates, times, and characters. Gerry also covers advanced topics like subqueries, programming with Transact-SQL, and improving query performance.",Course,2020-03-18 00:18 UTC,N/A,false,N/A,
After Effects 2020 New Features,"After Effects 2020 is here. Want to know how this new version will impact your motion graphics workflow? This course covers the latest upgrade, focused around the new, more powerful Content-Aware Fill. Discover how to remove an object, create a reference frame, and remove a logo on a smooth surface with this intelligent editing tool. Instructor Mark Christiansen provides practical tips to help you get the most from this forward-looking update.",Course,2020-12-14 02:35 UTC,N/A,false,N/A,
SQL Server Machine Learning Services: Python,"Learn how to analyze SQL Server data with Python. Database expert Adam Wilbert shows how to use a powerful combination of tools, including high-performance Python libraries and the Machine Learning Services add-on, directly inside SQL Server to streamline analysis. Adam shows how to use Python scripts to perform statistical analysis, generate graphics such as scatterplots and bar charts, and process tabular data. He also explains how to turn a Python script into a stored procedure and set up standalone ML services to execute scripts without impacting SQL Server performance.",Course,2020-11-17 17:12 UTC,N/A,false,N/A,
Figure Drawing: Tonal Rendering,"How can you make a good figure drawing into a great figure drawing? Give it drama with tonal rendering. This course—taught on the iPad Pro—provides you with step-by-step demonstrations that can help you enhance the dimensionality and drama of your figure drawings using tonal rendering techniques. Instructor Amy Wynne starts by demonstrating how to create a five-part tonal gradient, and then shows how to apply this to simple 3D geometric shapes such as an egg, a cylinder, and a block; these shapes serve as the building blocks for constructing your figures. Amy also shows how to build the figure from the inside out—from structure to tonality—and apply silhouette and camouflage using inspiring master drawings as examples. Upon completing this course, you'll be equipped with a few simple techniques that can help you add beautiful lights and shadows to your figure sketches.",Course,2020-05-03 19:03 UTC,N/A,false,N/A,
Computer and Text Neck Stretching Exercises,"Our necks bear the brunt of the stress when we spend too much time looking at screens. Taking a break is the best solution, but sometimes we can’t afford to go offline. Luckily, with simple corrections to your posture and typing habits, you can eliminate injury to this sensitive area. Join Dr. Baxter Bell for this series of exercises that can help relieve and prevent neck pain. Discover the proper way to stretch your back and neck, lengthen your neck muscles and upper spin, deepen your breath, and get the blood flowing through your body. Plus, learn a simple exercise that will benefit your neck and your wrists.<br><br>

Note: This course was created and produced by <a href=”https://www.desk-yogi.com” target=”_blank”>Desk Yogi</a>.",Course,2020-11-10 21:46 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:5006799,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:5006799,Course,2020-02-28 16:08 UTC,N/A,false,N/A,
SQL Essential Training,"Knowing how to code and manage relational databases and database-driven applications is a valuable skill for any career in tech. Completely updated for 2019, <i>SQL Essential Training</i> is designed to help users understand the most common language for database wrangling, SQL. All the lessons have been recorded in SQLiteStudio, an intuitive and easy-to-install database manager. Instructor Bill Weinman teaches all the major features of SQL: creating tables; defining relationships; manipulating strings, numbers, and dates; using triggers to automate actions; and using subselects and views. He offers a solid working knowledge of the language and shows how to retrieve and manage data efficiently. The final chapter includes a real-world example of building a simple application using SQL.<br><br>

This course was created by Bill Weinman. We are pleased to offer this training in our library.",Course,2020-10-01 22:40 UTC,N/A,false,N/A,
Succeeding in Web Development: Full Stack and Front End,"Do you want to become a web developer? Nowadays, web development isn't one job. There is a range of technologies and career options to explore. The core responsibilities are split two ways—between front-end developers who specialize in websites and applications and back-end developers who work with servers and databases—but you can also become a full-stack developer who oversees all aspects of a project. This course provides a map of the core technologies and advice about mastering them, complemented with the details you need to connect them to jobs. Senior staff author Ray Villalobos also provides tips on finding training, getting hired, and maximizing your earning potential in this lucrative and exciting field.",Course,2020-10-26 14:34 UTC,N/A,false,N/A,
Angular: Workflows,"Discover how to be a more productive Angular developer. In this course, senior UI engineer Victor Mejia draws on his own experience developing front-end projects with Angular. He introduces a set of tools and workflows that will make your job building Angular apps more efficient and fun. First, review the Angular CLI and then dive into unit testing workflows. Find out how to configure Prettier to automate code formatting, and then learn how to build and publish Angular libraries. Finally, discover how to implement a continuous integration workflow, using CircleCI to set up gateway checks, run automated tests, and build out your apps.",Course,2019-05-29 23:41 UTC,N/A,false,N/A,
JavaScript: Scope,"JavaScript scope determines how variables can be accessed throughout your code. There are two scopes: global and local. Global variables are accessible from anywhere; local variables are accessible only from within the function or block the variables are declared. Scope can be confusing, especially when factors such as hoisting and closures enter the mix. This course provides a thorough introduction to the scope options for JavaScript variables, alongside challenges that help you practice what you've learned. LinkedIn Learning instructor Emmanuel Henri helps you properly scope your variables, mitigate the effects of hoisting, and declare local variables inside non-function code such as if statements using block scope.",Course,2019-02-28 08:32 UTC,N/A,false,N/A,
Managing and Analyzing Data in Excel (Office 365/Excel 2019),"Large amounts of data can become unmanageable fast. But with the data management and analysis features in Excel, you can keep the largest spreadsheets under control. In this course, Dennis Taylor shares easy-to-use commands, features, and functions for maintaining large lists of data in Excel 2019 and Excel for Office 365. He covers sorting, adding subtotals, filtering, eliminating duplicate data, working with tables, and using functions to isolate and analyze data. With these techniques, you'll be able to better manage your lists and extract the most important information from them, in the shortest amount of time.",Course,2020-03-25 00:43 UTC,N/A,false,N/A,
Creating Great First Impressions,"First impressions matter. Whether you're walking into a meeting, interview, or negotiation, you need to know how to instantly build rapport. Luckily, the ability to make a lasting first impression isn't an innate skill; there's actually a science to it. In this course, Vanessa Van Edwards—lead investigator at Science of People, a human behavior research lab—shares research-backed strategies that can help you make the first few seconds of any interaction count. Vanessa dives into the body language that is essential to an engaging first impression, the vocal cues that help you sound confident both in person and on the phone, and the best opening lines for sparking a great conversation. Plus, get tips for changing dull small talk into a lively and memorable conversation.",Course,2020-03-28 20:29 UTC,N/A,false,N/A,
Learning Node.js,"Node.js is a platform built on the Chrome JavaScript runtime that can help you build fast, scalable network applications. Node.js uses an event-driven, non-blocking I/O model that makes it lightweight and efficient—perfect for data-intensive real-time applications that run across distributed devices. In this course, learn the basics of Node.js, and discover how to build a simple application. Alexander Zanfir goes into topics such as npm, reading and writing files, and Node.js frameworks. He covers Node.js features, such as async/await, and dives into popular web development concepts. Alexander also walks through how to build a demo chat app from start to finish.",Course,2020-12-05 01:55 UTC,N/A,false,N/A,
Windows 10: Administration,"Being able to administer a Windows machine is a key skill for any Windows administrator. Keep your skills sharp and up to date with this Windows 10 administration training. Martin Guidry takes a detailed look at the operating system, focusing on the administrative tasks necessary for keeping Windows 10 in tiptop shape. <br><br>Martin first reviews the various desktop versions of Windows 10. This section covers the special features included with the Enterprise edition, as well as the hardware requirements for some of the new Windows 10 features. Martin also explains installing and updating drivers and configuring and optimizing the OS. Then it's a deep dive into Group Policy, including working with local groups and troubleshooting Group Policy. Martin also looks at Windows security—authentication and encryption—as well as the boot process, and concludes the course with a brief look at virtualization, networking, and backup and recovery.",Course,2020-11-28 05:54 UTC,N/A,false,N/A,
